full,team,total_points,value
Pierre-Emerick Aubameyang,Arsenal,205,11.0
Alexandre Lacazette,Arsenal,118,9.5
Bernd Leno,Arsenal,114,5.0
Nicolas P?p?,Arsenal,106,9.5
David Luiz Moreira Marinho,Arsenal,94,6.0
Granit Xhaka,Arsenal,73,5.5
Bukayo Saka,Arsenal,71,4.5
Daniel Ceballos Fern?ndez,Arsenal,57,5.5
Sokratis Papastathopoulos,Arsenal,57,5.0
Sead Kolasinac,Arsenal,55,5.5
Mesut ?zil,Arsenal,53,7.5
Matteo Guendouzi,Arsenal,48,4.5
Lucas Torreira,Arsenal,46,5.0
H?ctor Beller?n,Arsenal,44,5.5
Shkodran Mustafi,Arsenal,43,5.5
Calum Chambers,Arsenal,42,4.5
Kieran Tierney,Arsenal,42,5.5
Ainsley Maitland-Niles,Arsenal,41,5.0
Joseph Willock,Arsenal,41,5.0
Gabriel Teodoro Martinelli Silva,Arsenal,39,4.5
Emiliano Mart?nez,Arsenal,33,4.5
Reiss Nelson,Arsenal,30,5.5
Edward Nketiah,Arsenal,25,4.5
C?dric Soares,Arsenal,18,5.0
C?dric Soares,Southampton,43,5.0
Rob Holding,Arsenal,16,4.5
Nacho Monreal,Arsenal,10,5.0
Pablo Mar?,Arsenal,8,5.0
Emile Smith Rowe,Arsenal,4,4.5
Henrikh Mkhitaryan,Arsenal,4,7.0
Jack Grealish,Aston Villa,149,6.0
Mahmoud Ahmed Ibrahim Hassan,Aston Villa,98,5.5
Anwar El Ghazi,Aston Villa,93,5.5
Douglas Luiz Soares de Paulo,Aston Villa,90,4.5
Tyrone Mings,Aston Villa,90,4.5
John McGinn,Aston Villa,84,5.5
Conor Hourihane,Aston Villa,83,6.0
Matt Targett,Aston Villa,80,4.5
Wesley Moraes,Aston Villa,67,6.0
Ezri Konsa Ngoyo,Aston Villa,65,4.5
Fr?d?ric Guilbert,Aston Villa,62,4.5
Tom Heaton,Aston Villa,59,4.5
Marvelous Nakamba,Aston Villa,43,4.5
Bjorn Engels,Aston Villa,42,4.5
Jos? Reina,Aston Villa,41,4.5
Ahmed El Mohamady,Aston Villa,39,4.5
Kortney Hause,Aston Villa,34,4.5
Mbwana Samatta,Aston Villa,29,6.0
Keinan Davis,Aston Villa,25,4.5
Neil Taylor,Aston Villa,22,4.5
Jos? Ignacio Peleteiro Romallo,Aston Villa,17,6.0
?rjan Nyland,Aston Villa,15,4.5
Henri Lansbury,Aston Villa,12,4.5
Daniel Drinkwater,Aston Villa,5,4.5
Daniel Drinkwater,Burnley,1,4.5
Jonathan Kodjia,Aston Villa,5,5.5
Indiana Vassilev,Aston Villa,4,4.5
Borja Gonz?lez Tom?s,Aston Villa,2,5.5
Jed Steer,Aston Villa,1,4.5
Aaron Ramsdale,Bournemouth,126,4.5
Callum Wilson,Bournemouth,116,8.0
Joshua King,Bournemouth,99,6.5
Harry Wilson,Bournemouth,91,6.0
Diego Rico,Bournemouth,84,4.0
Nathan Ak?,Bournemouth,79,5.0
Ryan Fraser,Bournemouth,73,7.5
Dominic Solanke,Bournemouth,69,5.5
Philip Billing,Bournemouth,68,5.0
Jefferson Lerma,Bournemouth,65,5.0
Dan Gosling,Bournemouth,54,5.0
Steve Cook,Bournemouth,52,5.0
Adam Smith,Bournemouth,49,4.5
Junior Stanislas,Bournemouth,42,6.0
Lewis Cook,Bournemouth,40,5.0
Jack Stacey,Bournemouth,39,4.5
Chris Mepham,Bournemouth,27,4.5
Arnaut Danjuma Groeneveld,Bournemouth,24,6.0
David Brooks,Bournemouth,21,6.5
Simon Francis,Bournemouth,16,4.5
Lloyd Kelly,Bournemouth,11,4.5
Andrew Surman,Bournemouth,6,5.0
Jack Simpson,Bournemouth,4,4.0
Sam Surridge,Bournemouth,4,4.5
Charlie Daniels,Bournemouth,3,4.5
Jordon Ibe,Bournemouth,2,5.0
Mark Travers,Bournemouth,1,4.5
Mathew Ryan,Brighton,135,4.5
Neal Maupay,Brighton,131,6.0
Lewis Dunk,Brighton,128,4.5
Leandro Trossard,Brighton,104,6.0
Adam Webster,Brighton,88,4.5
Dan Burn,Brighton,86,4.5
Aaron Mooy,Brighton,80,5.0
Davy Pr?pper,Brighton,78,5.0
Pascal Gro?,Brighton,76,6.5
Dale Stephens,Brighton,63,4.5
Mart?n Montoya,Brighton,62,4.5
Aaron Connolly,Brighton,61,4.5
Shane Duffy,Brighton,44,5.0
Yves Bissouma,Brighton,39,5.0
Solomon March,Brighton,38,5.0
Glenn Murray,Brighton,36,6.0
Steven Alzate,Brighton,33,4.5
Alireza Jahanbakhsh,Brighton,28,6.0
Tariq Lamptey,Brighton,25,4.0
Tariq Lamptey,Chelsea,1,4.0
Bernardo Fernandes da Silva Junior,Brighton,21,4.5
Alexis Mac Allister,Brighton,12,5.5
Ezequiel Schelotto,Brighton,9,4.0
Florin Andone,Brighton,5,5.0
Ga?tan Bong,Brighton,3,4.5
J?rgen Locadia,Brighton,3,5.5
Nick Pope,Burnley,170,4.5
James Tarkowski,Burnley,143,5.0
Chris Wood,Burnley,136,6.5
Dwight McNeil,Burnley,123,6.0
Ashley Westwood,Burnley,118,5.5
Ben Mee,Burnley,110,5.0
Jay Rodriguez,Burnley,100,6.0
Charlie Taylor,Burnley,84,4.5
Phil Bardsley,Burnley,78,4.5
Erik Pieters,Burnley,77,4.5
Jack Cork,Burnley,70,5.0
Jeff Hendrick,Burnley,67,5.5
Ashley Barnes,Burnley,61,6.5
Matthew Lowton,Burnley,48,4.5
Matej Vydra,Burnley,39,5.5
Robbie Brady,Burnley,32,5.5
Johann Berg Gudmundsson,Burnley,30,6.0
Josh Brownhill,Burnley,21,5.0
Kevin Long,Burnley,21,4.5
Aaron Lennon,Burnley,15,5.0
Max Thompson,Burnley,1,4.5
Willian Borges Da Silva,Chelsea,168,7.0
Tammy Abraham,Chelsea,153,7.0
Mason Mount,Chelsea,137,6.0
C?sar Azpilicueta,Chelsea,130,6.0
Christian Pulisic,Chelsea,127,7.5
Marcos Alonso,Chelsea,100,6.5
Jorge Luiz Frello Filho,Chelsea,92,5.0
Kepa Arrizabalaga,Chelsea,90,5.5
Mateo Kovacic,Chelsea,68,5.5
Olivier Giroud,Chelsea,68,7.0
Antonio R?diger,Chelsea,63,6.0
Kurt Zouma,Chelsea,62,5.0
Reece James,Chelsea,61,5.0
Ross Barkley,Chelsea,61,6.0
N'Golo Kant?,Chelsea,57,5.0
Callum Hudson-Odoi,Chelsea,53,6.0
Fikayo Tomori,Chelsea,48,4.5
Andreas Christensen,Chelsea,34,5.0
Pedro Rodr?guez Ledesma,Chelsea,32,7.0
Michy Batshuayi,Chelsea,28,7.0
Emerson Palmieri dos Santos,Chelsea,19,5.5
Willy Caballero,Chelsea,13,5.0
Ruben Loftus-Cheek,Chelsea,12,6.5
Billy Gilmour,Chelsea,9,4.5
Armando Broja,Chelsea,1,4.5
Faustino Anjorin,Chelsea,1,4.5
Vicente Guaita,Crystal Palace,137,5.0
Jordan Ayew,Crystal Palace,132,5.0
Wilfried Zaha,Crystal Palace,120,7.0
Patrick van Aanholt,Crystal Palace,109,5.5
James McArthur,Crystal Palace,92,5.5
Cheikhou Kouyat?,Crystal Palace,85,5.0
Luka Milivojevic,Crystal Palace,81,7.0
Joel Ward,Crystal Palace,77,4.5
Gary Cahill,Crystal Palace,70,4.5
Martin Kelly,Crystal Palace,64,4.0
Jeffrey Schlupp,Crystal Palace,51,5.5
Scott Dann,Crystal Palace,51,4.5
Andros Townsend,Crystal Palace,48,6.0
James Tomkins,Crystal Palace,48,5.0
Christian Benteke,Crystal Palace,42,6.0
James McCarthy,Crystal Palace,41,4.5
Max Meyer,Crystal Palace,23,5.5
Jairo Riedewald,Crystal Palace,22,4.5
Connor Wickham,Crystal Palace,15,4.5
Cenk Tosun,Crystal Palace,12,6.0
Cenk Tosun,Everton,12,6.0
Mamadou Sakho,Crystal Palace,11,5.0
Wayne Hennessey,Crystal Palace,7,4.5
Tyrick Mitchell,Crystal Palace,4,4.0
Brandon Pierrick,Crystal Palace,2,4.5
V?ctor Camarasa,Crystal Palace,1,5.0
Richarlison de Andrade,Everton,165,8.0
Dominic Calvert-Lewin,Everton,126,6.0
Lucas Digne,Everton,120,6.0
Jordan Pickford,Everton,117,5.5
Gylfi Sigurdsson,Everton,95,8.0
Michael Keane,Everton,90,5.5
Yerry Mina,Everton,78,5.5
Djibril Sidib?,Everton,74,5.5
Bernard An?cio Caldeira Duarte,Everton,72,6.5
Mason Holgate,Everton,71,4.5
Theo Walcott,Everton,63,6.5
Tom Davies,Everton,59,5.5
Seamus Coleman,Everton,55,5.5
Moise Kean,Everton,53,7.0
Alex Iwobi,Everton,52,6.0
Andr? Filipe Tavares Gomes,Everton,39,5.5
Fabian Delph,Everton,24,5.5
Morgan Schneiderlin,Everton,18,4.5
Anthony Gordon,Everton,17,4.5
Leighton Baines,Everton,14,5.0
Jarrad Branthwaite,Everton,11,4.0
Jean-Philippe Gbamin,Everton,4,5.0
Oumar Niasse,Everton,3,4.5
Jamie Vardy,Leicester,210,9.0
Kasper Schmeichel,Leicester,156,5.0
Harvey Barnes,Leicester,133,6.0
Ayoze P?rez,Leicester,129,6.5
Jonny Evans,Leicester,128,5.0
James Maddison,Leicester,125,7.0
Ricardo Domingos Barbosa Pereira,Leicester,123,6.0
?aglar S?y?nc?,Leicester,120,4.5
Youri Tielemans,Leicester,117,6.5
Benjamin Chilwell,Leicester,114,5.5
Wilfred Ndidi,Leicester,85,5.0
Kelechi Iheanacho,Leicester,64,6.0
Dennis Praet,Leicester,54,5.5
Demarai Gray,Leicester,44,5.5
Marc Albrighton,Leicester,38,5.5
Hamza Choudhury,Leicester,35,4.5
James Justin,Leicester,35,5.0
Christian Fuchs,Leicester,26,4.5
Wes Morgan,Leicester,19,4.5
Luke Thomas,Leicester,15,4.0
Nampalys Mendy,Leicester,11,4.5
Ryan Bennett,Leicester,11,5.0
Ryan Bennett,Wolves,21,5.0
George Hirst,Leicester,2,4.5
Matty James,Leicester,1,4.5
Mohamed Salah,Liverpool,233,12.5
Sadio Man?,Liverpool,221,11.5
Trent Alexander-Arnold,Liverpool,210,7.0
Andrew Robertson,Liverpool,181,7.0
Virgil van Dijk,Liverpool,178,6.5
Roberto Firmino,Liverpool,155,9.5
Alisson Ramses Becker,Liverpool,122,6.0
Jordan Henderson,Liverpool,116,5.5
Georginio Wijnaldum,Liverpool,107,5.5
Joseph Gomez,Liverpool,93,5.5
Fabio Henrique Tavares,Liverpool,77,5.5
Alex Oxlade-Chamberlain,Liverpool,76,6.5
Divock Origi,Liverpool,65,5.5
Naby Keita,Liverpool,52,6.0
James Milner,Liverpool,49,5.5
Joel Matip,Liverpool,39,5.5
Adam Lallana,Liverpool,27,6.0
Adri?n San Miguel del Castillo,Liverpool,27,4.5
Dejan Lovren,Liverpool,18,5.5
Xherdan Shaqiri,Liverpool,15,6.5
Neco Williams,Liverpool,14,4.0
Curtis Jones,Liverpool,13,4.5
Takumi Minamino,Liverpool,11,6.5
Harvey Elliott,Liverpool,2,4.5
Kevin De Bruyne,Man City,251,9.5
Raheem Sterling,Man City,204,12.0
Riyad Mahrez,Man City,175,8.5
Gabriel Fernando de Jesus,Man City,146,9.5
David Silva,Man City,139,7.5
Ederson Santana de Moraes,Man City,133,6.0
Sergio Ag?ero,Man City,132,12.0
Bernardo Mota Veiga de Carvalho e Silva,Man City,116,8.0
Kyle Walker,Man City,114,6.0
Rodrigo Hernandez,Man City,92,5.5
Nicol?s Otamendi,Man City,82,5.5
Benjamin Mendy,Man City,74,6.0
Phil Foden,Man City,69,5.5
Ilkay G?ndogan,Man City,65,5.5
Aymeric Laporte,Man City,63,6.5
Fernando Luiz Rosa,Man City,55,5.5
Oleksandr Zinchenko,Man City,49,5.5
Jo?o Pedro Cavaco Cancelo,Man City,45,5.5
Eric Garcia,Man City,38,4.5
John Stones,Man City,34,5.5
Claudio Bravo,Man City,11,5.0
Jos? ?ngel Esmor?s Tasende,Man City,11,5.0
Leroy San?,Man City,1,9.5
Tommy Doyle,Man City,1,4.5
Anthony Martial,Man Utd,200,7.5
Marcus Rashford,Man Utd,177,8.5
David de Gea,Man Utd,143,5.5
Aaron Wan-Bissaka,Man Utd,127,5.5
Harry Maguire,Man Utd,123,5.5
Bruno Miguel Borges Fernandes,Man Utd,117,8.0
Victor Lindel?f,Man Utd,116,5.5
Mason Greenwood,Man Utd,103,4.5
Daniel James,Man Utd,95,6.0
Scott McTominay,Man Utd,74,5.0
Luke Shaw,Man Utd,67,5.5
Andreas Pereira,Man Utd,60,5.0
Nemanja Matic,Man Utd,55,5.0
Brandon Williams,Man Utd,51,4.0
Paul Pogba,Man Utd,51,8.5
Frederico Rodrigues de Paula Santos,Man Utd,50,5.5
Juan Mata,Man Utd,38,6.5
Jesse Lingard,Man Utd,32,6.5
Ashley Young,Man Utd,24,5.5
Odion Ighalo,Man Utd,11,6.5
Eric Bailly,Man Utd,9,5.0
Axel Tuanzebe,Man Utd,7,4.5
Timothy Fosu-Mensah,Man Utd,7,4.5
Jos? Diogo Dalot Teixeira,Man Utd,4,5.0
Marcos Rojo,Man Utd,3,5.0
Tahith Chong,Man Utd,3,4.5
Angel Gomes,Man Utd,2,5.0
Phil Jones,Man Utd,2,5.0
James Garner,Man Utd,1,4.5
Martin Dubravka,Newcastle United,143,5.0
Miguel Almir?n,Newcastle United,109,6.0
Jonjo Shelvey,Newcastle United,105,5.0
Federico Fern?ndez,Newcastle United,102,4.5
Allan Saint-Maximin,Newcastle United,92,5.5
Joelinton C?ssio Apolin?rio de Lira,Newcastle United,78,6.0
Matt Ritchie,Newcastle United,74,5.5
Isaac Hayden,Newcastle United,73,4.5
Jamaal Lascelles,Newcastle United,73,4.5
Javier Manquillo,Newcastle United,65,4.5
Jetro Willems,Newcastle United,64,4.5
Dwight Gayle,Newcastle United,58,5.0
Fabian Sch?r,Newcastle United,55,5.0
Ciaran Clark,Newcastle United,49,4.5
Paul Dummett,Newcastle United,44,4.5
Sean Longstaff,Newcastle United,44,5.0
Christian Atsu,Newcastle United,37,5.5
Emil Krafth,Newcastle United,37,4.5
Andy Carroll,Newcastle United,34,5.5
Danny Rose,Newcastle United,30,5.5
Danny Rose,Tottenham,17,5.5
Matthew Longstaff,Newcastle United,27,4.5
DeAndre Yedlin,Newcastle United,26,4.5
Florian Lejeune,Newcastle United,24,4.5
Nabil Bentaleb,Newcastle United,19,5.0
Valentino Lazaro,Newcastle United,19,5.5
Yoshinori Muto,Newcastle United,9,5.5
Sung-yueng Ki,Newcastle United,4,5.0
Kelland Watts,Newcastle United,1,4.0
Teemu Pukki,Norwich,139,6.5
Todd Cantwell,Norwich,111,4.5
Tim Krul,Norwich,109,4.5
Emiliano Buend?a,Norwich,94,6.0
Kenny McLean,Norwich,77,5.0
Alexander Tettey,Norwich,67,4.5
Maximillian Aarons,Norwich,66,4.5
Onel Hern?ndez,Norwich,52,5.5
Jamal Lewis,Norwich,48,4.5
Ben Godfrey,Norwich,38,4.5
Christoph Zimmermann,Norwich,35,4.5
Marco Stiepermann,Norwich,32,5.5
Sam Byram,Norwich,32,4.5
Mario Vrancic,Norwich,29,6.5
Tom Trybull,Norwich,28,4.5
Josip Drmic,Norwich,26,5.5
Ondrej Duda,Norwich,24,5.0
Grant Hanley,Norwich,23,4.0
Lukas Rupp,Norwich,19,4.5
Ibrahim Amadou,Norwich,18,4.5
Moritz Leitner,Norwich,16,4.5
Adam Idah,Norwich,13,4.5
Dennis Srbeny,Norwich,13,5.5
Michael McGovern,Norwich,11,4.0
Timm Klose,Norwich,9,4.5
Josh Martin,Norwich,5,4.5
Patrick Roberts,Norwich,3,5.5
Akin Famewo,Norwich,1,4.0
Jordan Thomas,Norwich,1,4.0
Ralf Fahrmann,Norwich,1,4.5
Dean Henderson,Sheffield United,160,4.5
John Lundstram,Sheffield United,144,4.0
Enda Stevens,Sheffield United,142,5.0
George Baldock,Sheffield United,142,4.5
John Egan,Sheffield United,133,4.5
Chris Basham,Sheffield United,123,4.5
Jack O'Connell,Sheffield United,111,4.5
John Fleck,Sheffield United,101,5.0
Oliver Norwood,Sheffield United,98,5.0
Oliver McBurnie,Sheffield United,86,6.0
Lys Mousset,Sheffield United,84,5.0
David McGoldrick,Sheffield United,65,5.5
Billy Sharp,Sheffield United,57,6.0
Sander Berge,Sheffield United,40,5.0
Callum Robinson,Sheffield United,33,5.5
Ben Osborn,Sheffield United,19,5.0
Jack Robinson,Sheffield United,14,4.0
Luke Freeman,Sheffield United,13,5.5
Muhamed Be?i?,Sheffield United,9,4.5
Phil Jagielka,Sheffield United,6,4.5
Richairo Zivkovic,Sheffield United,5,5.0
Simon Moore,Sheffield United,3,4.5
Kieron Freeman,Sheffield United,2,4.5
Leon Clarke,Sheffield United,2,4.5
Jack Rodwell,Sheffield United,1,4.5
Ravel Morrison,Sheffield United,1,5.0
Danny Ings,Southampton,198,6.0
James Ward-Prowse,Southampton,117,6.0
Nathan Redmond,Southampton,107,6.5
Alex McCarthy,Southampton,104,4.5
Stuart Armstrong,Southampton,98,5.5
Jack Stephens,Southampton,85,4.5
Jan Bednarek,Southampton,84,4.5
Che Adams,Southampton,78,6.0
Pierre-Emile H?jbjerg,Southampton,75,5.0
Ryan Bertrand,Southampton,75,5.0
Shane Long,Southampton,62,5.0
Jannik Vestergaard,Southampton,51,5.0
Oriol Romeu Vidal,Southampton,51,4.5
Michael Obafemi,Southampton,45,5.0
Moussa Djenepo,Southampton,40,5.5
Sofiane Boufal,Southampton,34,5.5
Angus Gunn,Southampton,29,4.5
Kyle Walker-Peters,Southampton,27,5.0
Kyle Walker-Peters,Tottenham,5,5.0
William Smallbone,Southampton,24,4.5
Yan Valery,Southampton,18,5.0
Maya Yoshida,Southampton,10,4.5
Kevin Danso,Southampton,9,4.5
Jake Vokins,Southampton,2,4.0
Nathan Tella,Southampton,1,4.5
Heung-Min Son,Tottenham,169,9.5
Harry Kane,Tottenham,158,11.0
Serge Aurier,Tottenham,124,5.0
Bamidele Alli,Tottenham,117,8.5
Lucas Rodrigues Moura da Silva,Tottenham,100,7.5
Hugo Lloris,Tottenham,98,5.5
Toby Alderweireld,Tottenham,97,5.5
Moussa Sissoko,Tottenham,69,5.0
Erik Lamela,Tottenham,65,6.0
Davinson S?nchez,Tottenham,64,5.5
Jan Vertonghen,Tottenham,62,5.5
Paulo Gazzaniga,Tottenham,58,4.5
Giovani Lo Celso,Tottenham,54,7.5
Harry Winks,Tottenham,52,5.5
Christian Eriksen,Tottenham,48,9.0
Tanguy Ndombele,Tottenham,45,6.0
Steven Bergwijn,Tottenham,43,7.5
Ben Davies,Tottenham,41,5.5
Eric Dier,Tottenham,36,5.0
Japhet Tanganga,Tottenham,17,4.0
Ryan Sessegnon,Tottenham,9,5.5
Gedson Carvalho Fernandes,Tottenham,7,5.0
Oliver Skipp,Tottenham,7,4.5
Juan Foyth,Tottenham,3,5.0
Troy Parrott,Tottenham,2,4.5
Georges-K?vin Nkoudou,Tottenham,1,5.0
Victor Wanyama,Tottenham,1,5.0
Ben Foster,Watford,137,5.0
Abdoulaye Doucour?,Watford,113,6.0
Troy Deeney,Watford,109,6.5
Isma?la Sarr,Watford,107,6.5
Gerard Deulofeu,Watford,88,6.5
Etienne Capoue,Watford,78,5.0
Craig Cathcart,Watford,77,4.5
Christian Kabasele,Watford,73,4.5
Adam Masina,Watford,66,4.5
Will Hughes,Watford,62,5.5
Craig Dawson,Watford,61,5.0
Roberto Pereyra,Watford,60,6.0
Francisco Femen?a Far,Watford,54,4.5
Andre Gray,Watford,39,6.0
Danny Welbeck,Watford,39,6.0
Daryl Janmaat,Watford,36,4.5
Nathaniel Chalobah,Watford,36,4.5
Tom Cleverley,Watford,33,5.0
Adrian Mariappa,Watford,26,4.5
Jos? Holebas,Watford,21,5.0
Ignacio Pussetto,Watford,6,5.0
Domingos Quina,Watford,4,4.5
Isaac Success Ajayi,Watford,4,5.0
Jo?o Pedro Junqueira de Jesus,Watford,3,5.0
Dimitri Foulquier,Watford,1,4.0
Sebastian Pr?dl,Watford,1,4.0
Michail Antonio,West Ham,111,7.0
Declan Rice,West Ham,105,5.0
Mark Noble,West Ham,105,5.0
S?bastien Haller,West Ham,102,7.5
Pablo Fornals,West Ham,93,6.5
Robert Snodgrass,West Ham,87,5.5
Lukasz Fabianski,West Ham,83,5.0
Angelo Ogbonna,West Ham,81,4.5
Aaron Cresswell,West Ham,79,5.0
Issa Diop,West Ham,76,4.5
Ryan Fredericks,West Ham,74,4.5
Andriy Yarmolenko,West Ham,70,6.0
Felipe Anderson Pereira Gomes,West Ham,66,7.0
Manuel Lanzini,West Ham,50,6.5
Jarrod Bowen,West Ham,44,6.5
Tomas Soucek,West Ham,41,5.0
Fabi?n Balbuena,West Ham,40,4.5
Arthur Masuaku,West Ham,26,4.5
David Martin,West Ham,20,4.0
Roberto Jimenez Gago,West Ham,18,4.5
Pablo Zabaleta,West Ham,10,4.5
Albian Ajeti,West Ham,9,6.0
Javier Hern?ndez Balc?zar,West Ham,9,6.0
Jack Wilshere,West Ham,8,5.0
Jeremy Ngakia,West Ham,8,4.0
Carlos S?nchez,West Ham,7,4.5
Ben Johnson,West Ham,6,4.0
Darren Randolph,West Ham,3,4.5
Nathan Holland,West Ham,2,4.5
Ra?l Jim?nez,Wolves,194,7.5
Matt Doherty,Wolves,167,6.0
Rui Pedro dos Santos Patr?cio,Wolves,153,5.0
Adama Traor?,Wolves,130,5.0
Jonathan Castro Otto,Wolves,123,5.5
Conor Coady,Wolves,118,5.0
Jo?o Filipe Iria Santos Moutinho,Wolves,113,5.5
Diogo Jota,Wolves,105,6.5
Romain Sa?ss,Wolves,103,4.5
Leander Dendoncker,Wolves,100,4.5
R?ben Diogo da Silva Neves,Wolves,97,5.5
Willy Boly,Wolves,97,5.0
Pedro Lomba Neto,Wolves,57,5.0
R?ben Gon?alo Silva Nascimento Vinagre,Wolves,32,4.5
Daniel Castelo Podence,Wolves,25,5.5
Patrick Cutrone,Wolves,23,6.0
Morgan Gibbs-White,Wolves,11,5.0
Max Kilman,Wolves,5,4.0
Bruno Andr? Cavaco Jordao,Wolves,1,4.5
Jes?s Vallejo L?zaro,Wolves,1,5.0
